timestamp,year,month,day,hour,minute,second,latitude,longitude,altitude_msl,altitude_ellipsoid,horizontal_accuracy,vertical_accuracy,fix_type,carrier_solution,num_satellites,pDOP,speed_2d,heading,vel_north,vel_east,vel_down,flags,source
9.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
10.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
11.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
12.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
13.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
14.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
15.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
16.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
17.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
18.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
19.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
20.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
21.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
23.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
24.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
25.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
26.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
27.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
28.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
29.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
30.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
31.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
32.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
33.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
34.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
35.0,2020,3,22,0,0,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
